name,family,country
eurecoms3_a,academia/slices,
eurecoms3_coexist,academia/slices,
eurecoms3_today,academia/slices,
eurecoms3_wifi_experiments,academia/slices,
inria_acqua,academia/diana,
inria_admin,admin,
inria_anas.ping,academia/diana,
inria_batman,academia/diana,
inria_batman_olsr,academia/diana,
inria_cefore,academia/others,Japan
inria_converge01,academia/diana,
inria_corposucre,academia/others,Colombia
inria_diarra,academia/diana,
inria_dionysos1,academia/others,
inria_distrinet,academia/diana,
inria_drive,academia/others,
inria_dsisp,academia/diana,
inria_electrosmart,academia/diana,
inria_emu,academia/diana,
inria_es,academia/diana,
inria_ethz1,academia/others,
inria_etsmtl,academia/others,Canada
inria_eurecom1,academia/slices,
inria_fehland1,academia/others,Chile
inria_fun01,academia/others,
inria_havelsan,industry,Turkey
inria_hive,industry,
inria_idtolu,academia/others,Colombia
inria_infosys,industry,India
inria_intern,academia/diana,
inria_iotlab.iotlab_slice,academia/slices,
inria_jawad,academia/diana,
inria_juniper,industry,
inria_kpn,academia/others,Netherlands
inria_kube,academia/slices,
inria_kube5g,academia/slices,
inria_l2bm,academia/diana,
inria_laas,academia/others,
inria_lahsini,academia/diana,
inria_lip6_theo,academia/others,
inria_lora,academia/diana,
inria_mario.maintenance,admin,
inria_mario.script,admin,
inria_mesh.routing,academia/others,Australia
inria_metu,academia/others,Turkey
inria_mininet,academia/diana,
inria_mosaic,academia/diana,
inria_mtz,academia/others,Mexico
inria_mwnl,academia/others,Korea
inria_naoufal.mesh,academia/diana,
inria_ncsu,academia/others,USA
inria_novisad,academia/others,Serbia
inria_npu,academia/others,Thailand
inria_ns3,academia/diana,
inria_ntnu,academia/others,Norway
inria_oai,academia/slices,
inria_oai.b210,academia/slices,
inria_oai.build,academia/slices,
inria_oai.laas,academia/slices,
inria_oai.skype,academia/slices,
inria_oai.slicing,academia/slices,
inria_oot,academia/others,Brazil
inria_pepr01,academia/diana,
inria_pfe,academia/diana,
inria_quic,academia/diana,
inria_r2dock,academia/diana,
inria_r2lab.admin,admin,
inria_r2lab.tutorial,admin,
inria_radiomap,academia/diana,
inria_rnis,academia/diana,
inria_school,academia/slices,
inria_sharif,academia/others,Iran
inria_slices_blueprint,academia/slices,
inria_sherbrooke,academia/others,Canada
inria_sic,academia/diana,
inria_sunyatsen1,academia/others,China
inria_toshiba2,industry,UK
inria_tp,academia/diana,
inria_trc,academia/others,USA
inria_tribe1,academia/others,
inria_tusofia,academia/others,Bulgaria
inria_ucolombia,academia/others,
inria_ucsc01,academia/others,
inria_ucsc02,academia/others,
inria_ufrn,academia/others,Brazil
inria_ulyon1,academia/others,
inria_unilu,academia/others,
inria_urauf,academia/others,USA
inria_vinod,academia/diana,
inria_visit,academia/diana,
inria_walid.demo,academia/diana,
inria_wifi.sdn,academia/diana,
inria_wifi01,academia/diana,
inria_wipro,academia/diana,
inria_wisec,academia/others,France
inria_wwsi,academia/others,Poland
inria_yassir,academia/diana,
unicamp_wifisdn.slicesdn,academia/others,
